Date,Close,Retorno
02/01/2017,"3,633161574","1,88"
03/01/2017,"3,560861658","-1,99"
04/01/2017,-,-
05/01/2017,"3,579390782",-
06/01/2017,"3,651327382","2,01"
09/01/2017,"3,600463119","-1,39"
10/01/2017,"3,632798258","0,90"
11/01/2017,"3,614995766","-0,49"
12/01/2017,"3,609546023","-0,15"
13/01/2017,"3,665496712","1,55"
16/01/2017,"3,651327382","-0,39"
17/01/2017,"3,632798258","-0,51"
18/01/2017,"3,633161574","0,01"
19/01/2017,"3,633161574","0,00"
20/01/2017,"3,633161574","0,00"
23/01/2017,"3,632798258","-0,01"
24/01/2017,"3,632798258","0,00"
25/01/2017,-,-
26/01/2017,"3,632071625","-0,02"
27/01/2017,"3,633161574","0,03"
30/01/2017,"3,633161574","0,00"
31/01/2017,"3,633161574","0,00"
01/02/2017,"3,779955981","4,04"
02/02/2017,"3,669860175","-2,91"
03/02/2017,"3,669860175","0,00"
06/02/2017,"3,669860175","0,00"
07/02/2017,"3,669860175","0,00"
08/02/2017,"3,669860175","0,00"
09/02/2017,"3,655914707","-0,38"
10/02/2017,"3,669493189","0,37"
13/02/2017,"3,669493189","0,00"
14/02/2017,"3,669860175","0,01"
15/02/2017,"3,669860175","0,00"
16/02/2017,"3,669860175","0,00"
17/02/2017,"3,669860175","0,00"
20/02/2017,"3,669860175","0,00"
21/02/2017,"3,669860175","0,00"
22/02/2017,"3,669860175","0,00"
23/02/2017,"3,669860175","0,00"
24/02/2017,"3,706558777","1,00"
27/02/2017,-,-
28/02/2017,-,-
01/03/2017,"3,725100842","0,50"
02/03/2017,"3,725100842","0,00"
03/03/2017,"3,708412984","-0,45"
06/03/2017,"3,708412984","0,00"
07/03/2017,"3,708412984","0,00"
08/03/2017,"3,708412984","0,00"
09/03/2017,"3,708412984","0,00"
10/03/2017,"3,708412984","0,00"
13/03/2017,"3,70730046","-0,03"
14/03/2017,"3,708412984","0,03"
15/03/2017,"3,720650747","0,33"
16/03/2017,"3,706187936","-0,39"
17/03/2017,"3,708412984","0,06"
20/03/2017,"3,708412984","0,00"
21/03/2017,"3,704704571","-0,10"
22/03/2017,"3,708412984","0,10"
23/03/2017,"3,704704571","-0,10"
24/03/2017,"3,69024176","-0,39"
27/03/2017,"3,708412984","0,49"
28/03/2017,"3,708412984","0,00"
29/03/2017,"3,717684016","0,25"
30/03/2017,"3,708412984","-0,25"
31/03/2017,"3,708412984","0,00"
03/04/2017,"3,749659235","1,11"
04/04/2017,"3,749659235","0,00"
05/04/2017,"3,749659235","0,00"
06/04/2017,"3,756033656","0,17"
07/04/2017,"3,749659235","-0,17"
10/04/2017,"3,749659235","0,00"
11/04/2017,"3,749659235","0,00"
12/04/2017,"3,749659235","0,00"
13/04/2017,"3,736535428","-0,35"
14/04/2017,-,-
